positive,negative,rating
"Great big apartmrent in centar , you go by walk aniwehere in center for few mins . Apartment id very clean , has super wi-fi , the host is grate and very helpful 😊 My big recomandation 😊",,10
"Great location in the city centre. Good choise for groups.
Communication with the owner was excellent and airport transfers were perfectly organized.",Some inventory could be renewed.,9
"Location, apartment, all was good","Why lie about the second bathroom that it broke down te morning before we entered the apartment when we can see clearly in the comments that the shower already was broken down some time before. It doesn't matter that it is broken down, that happens, it matters that you lie about it, don't do that, we are not stupid, we let you think we are stupid but we aren't. We just let you get away with a lie so that it wouldn't be uncomfortable for you to continue our conversation....:(",8
"the location is amazing….a 5 minute walk to both Knez Mijaila and Skadarlija!!!  absolutely perfect.  and large enough for our family of 6.  The hostess, Alexandra, met us upon checkin…great service.",Could use new flooring but we weren’t there to debate flooring.,9
"The communication, the flexibility of the hostess and the apartment were a hit!
The apartment is very clean, spacious and absolutely corresponds to the photos!

Thank you for any accommodation and for the great reception!",,10
"Perfect location, central, cozy apartment, great host and big rooms. highly reccomended",,10
location,from the front front entrance to the apartment its difficult to carry luggage’s especially when you have big luggage and the lift is between stairs so either you need to climb down one floor for life and climb up one floor for the lift.,10
"Timely communication, great care and attention to every details, complete peace of mind make this property a 100% satisfactory stay, particularly for family with children, and property is large enough to accommodate a large family. The top choice for our next visit.",,10
"Large and spacious apartment. 3 full bedrooms 2 bathrooms was a bonus as well as the washing machine.
Location was really great, close to everything.",Shower grout and silicone could be replaced or cleaned better. Bed mattresses and pillows were not comfortable and should be replaced. Stains on the couch. Nothing major but small improvements would make this place amazing.,8
"Very convenient place if you need to stay in the Old Belgrade. Although it is located on a noisy street, the flat is quiet because the building it is in is in a courtyard.
Spacy living room, good Wi-Fi. Helpful owner.","Walls are dirty. In two of the rooms the bedside tables are broken, but the price is lower than the other flats around.
And I still haven't received the receipt for the payment.",8
Perfect,,10
"Really nice and big accommodation, very close to Republic Square....",,10
good location. Nice host.,,8
very big and in the city centre,"1 shower drain was plugged, so you practicly couldn’t shower. in the other shower the hot water was done after 10 minutes. if you are with a group of 6 people that isn’t enough",7
Lokacija i izuzetna ljubaznost domaćina.,,10
"Domaćin, apartman, lokacija",Manja kupaona jer curi voda iz tuš kabine i bojlera.,9
"snyggt, rent, ac, 2 toaletter helt perfekt",inget,10
"locatie, ruimte, host (heeft ons ook nog naar de luchthaven gebracht.","2e badkamer moet wat klein onderhoud aan gepleegd worden, maar dat is dan ook alles.",9
Stor bra lägenhet o närheten till centrala Belgrad.,,8
"Приветливый добродушный хозяин, по нашей просьбе купил новую сковороду и большую кастрюлю.
Просторно в квартире, два санузла. 
Отличное местоположение в центре.","В одной из спален было холодно. 
Кондиционеры работали на обогрев, но ночью работали очень громко.
За окном была стройка днём, немного шумно.
Немного пахло в санузлах, могло бы быть чище.",8
"L'accueil, l’espace, la localisation, la luminosité.",,9
L’accueil chaleureux. Possible organisation de transfert arrivée départ. Flexibilité des horaires arrivée départ. Un logement spacieux et lumineux. Des penderies.,,9
Komforan apartman sa svim potrebnim za ugodan boravak.Lokacija savršena.,,10
三个独立的卧室，2个卫生间，都可以如厕，洗溯，淋浴。超大的餐厅，客厅一体空间，适合大家庭住宿。门口就是超市，很方便。房间设施比较新，比较干净。很安静的住宿环境。,在市中心，停车特别不方便。另外，厨房最好安装一台抽油烟机。做饭不会把油烟弄的到处都是。,10
"Unkomplizierte check in, große der Wohnung.",Wir haben Tourismus Taxen bezahlt aber keine Quittungen oder Bestätigung dafür bekommen.,8
,Небольшой минус оплата только наличными.,10
"Super Lage
Bequeme Betten
Unkomplizierte Host.","Schlechte Sauberkeit, Abfluss verstopft,  Wasser im WC läuft die ganze Zeit - nachts stört.
Froteetücher alt, gräulich sratt weiss.....
...",5
"Posizione perfetta. Nikola gentilissimo. La pulizia è buona. Le camere sono spaziose, i letti buoni. Nel complesso una buona sistemazione per un gruppo.","Pulizia migliorabile. Non di nostro gradimento la moquette, in quanto poco presente in Italia. I bagni sono migliorabili con una maggiore manutenzione",7
,"Husgeråd, strykbräda och städartiklar samt städning",7
"Postovani tim recepcije objekta Dream Rooms zaista smo uzivali.Lepota zivog grada Nisa u centru grada ,predivan objekat sa puno lepim manirima osoblja i vlasnice.Cisto,udobno i lepo. Jednom reciju mir u ukutkanom centru grada sa Apartmanima. Hvala Vam na.svemu.",Toga zaista nema!,10
Fantastična lokacija domacice gostoprimljive čisto uredno  svaka preporuka za ovaj smestaj,Nemam zamerki,10
Sve je bio super!,Nema toga.,10
"Sve je bilo super ,jako smo zadovoljni uslugom smeštaja.",Nema.,10
"Sve...osim sto su ljubazni ,veoma cisto,toplo,mirno..sve je bilo korektno, kafe mashina na recepciji sa odlicnom kafom.Preporucujem sve buducim gostima.",Toga zaista nema!,10
"Zadovoljni smestajem.Toplo,jako cisto i privatan parking.Proveli smo lepe dane u Nisu i ako je bio veliki minus napolju,mi smo bili prezadovoljni smestajem i sve nam je bilo blizu... Preporucujemo Dream Rooms!",Nema toga!,10
"Dopala nam se profesionalnost, ljubaznost osobalja sve je bilo kao u opisu i najboljem redu. Cisto,toplo i uredno sve najbolje.Vraticemo se ponovo!",Toga nema!,10
Stvarno je sve bilo čisto i uredno. Opis odgovara stanju u objektu.,,9
Локација је изванредна. Сам апартман је чист и удобан. Домаћини су пријатни и предусретљиви.,,10
"Čisto, udobno. U centru grada je. Osoblje veoma ljubazno. Sve preporuke",,10
Odlični!!!!,To ne postoji!,10
Naša porodica dolazi par godina unazad u ovaj smeštaj.Sve je bilo super kao i uvek.Osoblje recepcije profesionalno kao i vlasnica.Vratili smo se i za praznike. Preporučujemo uvek od srca...,Nemamo zamerke.,10
"Osoblje recepcije izuzetno ljubazno,apartmani su izvanredni,čisti i topli.Profesionalnost vlasnice, izuzetno ljubazna.Imate sve što je potrebno za lep boravak.Primetio sam da pričaju više stranih jezika na recepciji što je jako korisno. Preporučujem čista 10-ka.",,10
"Smestaj u samom centru, u veoma lepoj ulici.
Domacini veoma ljubazni.",,10
"Sve pohvale za apartman..Lokacija super,osoblje extra,smestaj jako dobar..Sve preporuke",,9
Sve uobičajeno,"Stepenice  su vrlo strme
Jastuci  su neudobni",8
"Jako ljubazni domacini.
Sve je bilo kako treba.",,10
"Sve je bilo lepo čisto,toplo,osoblje super!",Nemam zamerke!,10
Preljubazna g.Dragana koja nas je docekala...auto nam.je bilo na sigurnom bez brige smo soavali..objekat je maximalno cist i udoban sve 10ke naspavao sam se suoer i bio svjez da nastavim putovanje dalje . ...,Nemam zamjerki niti jedne,10
Sve,X,10
"Lokacija odlicna, na tri minuta od centralnog trga i keja. Osoblje veoma prijatno i usluzno. Parking obezbedjen!",Cudan raspored prostorija jer iz jedne sobe mora da se prodje u drugu sobu da bi se doslo do kupatila. Kad dodje vise ljudi to moze biti problem zbog privatnosti.,8
,Sve je bilo odlivno. Za svaku preporuku.,10
Чика Драган и његова ћерка Драгана су поштени људи. Труде се да све буде како ваља и на њих човек може да се ослони. Локација је одлична. Није било никаквих проблема.,,10
Sve pohvale vlasnicima na gostoprimstvu. Dragana i njen otac su veoma ljubazni i predusretljivi.,,10
Lokacija je odlična.,,8
Lokacija je top,Sve je staro i kreveti smrde na znoj i ko zna sta vise. Nema klime. Trebali smo da budemo 2 noci ali posle prve smo nasli drugi smestaj i otisli.,1
Lokacija,"Stepeniste nije bezbedno,cak sta vise rizicno...jastuci isuvise tvrdi,visoki...dusek neudoban.Grejanje je na klimu,neprimereno zimskom periodu,kupatilo hladno bez grejanja.",2
Ljubaznost osoblja.,"Postojeći klima uređaj nije bio u stanju da zagreje ceo stan, tako da smo se smrzli.",5
Nista,"Sobe hladne, gazda iskljucio struju, ulazio u sobe dok nismo bili mi tu. Kupatilo nikakvo, tv ne radi, wifi ne radi.",1
"Nista,nisam bio u tom objektu.Prebacili nas u drugi objekat!",Kao nije radilo grejanje u toj sobi.Prebacili nas u drugi objekat koji je jeftiniji 20e a uzeli nam 50e.Sramota.,1
"Dorucak odlican, lokacija odlicna",,10
Nisam doruckovao jer sam morao rano na Aerodrom,,8
"Na mirnom mestu, ima sve potrebne sadržaje. Doručak je bio odličan, bogat i raznovrstan.",Voda u bazenu bi mogla biti toplija; parking je skup.,9
Doručak tooop 👌.. Lokacija 👍,,9
"Lokacija je super, u blizini park i šetalište, blizu do centra grada a i do aerodroma. Doručak ima sve što imajo i 'veliki'...a i više (lokalno pecivo...).","Današnji arhitekti bi dizajnirali sobe na način, da možda ima više prirodnog svetla.",9
"Hrana, osoblje, smjestaj su odlicni. Izolacija u sobama je malo slabija.","Spa centar je zajednicki sa javnom teretanom. Postoji 10 lezaljki pored bazena, kada smo dosli sve su bile zauzete od strane korisnika teretane. Nema ni stolica da negdje mozete spustiti peskire, tako da smo morali stvari vratiti u svlacionicu, dok su drugi gosti hotela sjedeli na podu.",8
Hrana,Nedostatak badem mantila i papuča za bazen.,8
"Preljubazno i susretljivo osoblje,kako na recepciji tako i u restoranu. Sve pohvale , posebno za Mariju!",Spa centar.,9
Lokacija je odlična osoblje je jako ljubazno .Sve je bilo kao što je i pisalo u opisu .,Imali smo kratkotrajni nestanak vode u hotelu.,8
Doručak je klasični kontinentalni sa dosta izbora i veoma ukusan. Osoblje je veoma ljubazno. Zbog kratkog boravka nisam imao priliku da isprobam druge sadrđaje koje hotel nudi.,Parking za kola se dodatno naplaćuje 10Eur po danu.,9
Cist hotel i ljubazno osoblje,Klima uredjaj u sobi nije radio.,8
Doručak je vrlo raznovrstan i obilan. Lokacija odlična.,,9
"Soba, lift, usluga, dorucak, lokacija, super je hotel, ima dusu.","Spa je u podrumu, neka svetla dovoljno, pa ko voli... Inace je okk, dobijete bade mantil, peskir, papuce, ljubazni su, gym je ogroman i dobro opremljen.",8
"Ljubavno osoblje i čistoća hotela wellness super..
Doručak raznovrstan i bogat..",Da je malo veći broj parking mesta za goste hotela,9
"Doručak sjajan, mnogo izbora i kvalitetna hrana. U ulici pored hotela ima besplatan parking. Osoblje ljubazno. Odnos cene i kvaliteta skroz korektan.","SPA bi mogao biti zanimljiviji. Kada je vetar, jako se čuje lupanje metala od metal kod zastava, mislim da bi to trebalo rešiti jer smeta za san. Bilo bi bolje da su anatomski jastuci, ili da se ima mogućnost izbora.",9
Lokacija je odlična kao i osoblje,Nemam zamjerki,8
"Hotel je na odličnoj lokaciji, ljubazno osoblje, uredno i čisto.","Poslala sam mejl za rezervaciju parkinga, ali mi nisu izvršili rezervaciju.",8
Sve odlično,,9
"Особље пријатно, удобан кревет",,8
"Sjajna lokacija hotela, sa besplatnim obezbeđenim parkingom. Sve pohvale za osoblje, veoma su ljubazni i trude se da maksimalno izađu u susret.",Doručak bi mogao da bude malo raznovrsniji.,8
"Sobe su lepe, kao sto je prikazano na slikama, hrana u hotelu je odlicna!",Na 7.spratu u apartmanu tople vode ima samo u 3 ujutru.,7
"Zaista nemam zamerki,dobro organizovani,hrana u restoranu fenomenalna.",,8
"Odličan doručak, uredan i prijatan ambijent u restoranu.
Osoblje restorana izuzetno ljubazno.",,8
"Svidja nam se sto ste eco-friendly i sto vam je cistoca, udobnost na maksimalnom nivou, kao i ljubaznost i iskrenost radnika. Krevet je bio udoboan i cenimo mnogo nalepnicu na wc solji da je denzifikovana. Sokovi si takodje odlicni, dorucak je bio super. Apsolutno smo bili odusevljeni. Preporuka za sve od nas. Hvala!","Nosenje kape za kosu, jer u sustini dovoljno je da se veze kosa, i dosta muskaraca sa takodje dugom kosom kao ja npr nije bilo zahtevno da se nosi. Takodje bilo je jako malo veganske hrane.",9
"Odlican dorucak, i super zona za opustanje.","Parking je uveliko popunjen, i zna biti guzva da nemate mjesta...",9
"Dorucak je bio obilan, ukusan i raznovrsan. Sve pohvale
Osoblje sa recepcije izuzetno ljubazno i usluzno. Svaka cast.",Voda u bazenu mutna i prehladna.,7
,Preskup i vrlo los parking.,9
"Lokacija 

Osoblje ljubazno i korektno. Rešili su efikasno problem oko rezervacije, nastao mojom greškom","Kupatilo 
Potrebno je ukloniti buđ pored kade i umivaonika",7
"Smestaj za pohvalu, prijatno osoblje uvek spremno da vam pomogne! Sve pohvale.",,9
,Nisu menjami peskiri,8
"Lokacija dobra, dorucak nismo imali.Za sobu smo dobili upgrade - uplatili smo dvokrevetnu sobu,a dobili apartman.","U sustini sasvim pristojno za hotel sa tri zvezdice.
Mozda jeste potrebno neko renoviranje i moderniji namestaj u sobama i u lobiju hotela.
U apartmanu gde smo bili smesteni,kupatilo i namestaj su poprilicno stari - cisto ali staro.Plafon je jako nizak pa stvara osecaj skucenosti.",7
Izbor jela za doručak odličan,Držač za tuš,8
"Ljubazno osoblje, udoban krevet, dobar restoran sa ok cenama. Lift, wifi, tv u sobi.",Čišćenje soba kreće već od 8h i to je po meni prerano jer je mnogo bučno i nisam mogao da se naspavam. Bazen i SPA mi nisu ostavili neki utisak. U sobi nije bilo frižidera.,8
Ljubazno osoblje. Dosta dobar doručak za hotel sa 3 zvezdica.,"Hladna voda u bazenu, premekan dušek, potrebno renoviranje pojedinih delova hotela, posebno u kupatilu.",7
"Sve pohvale za osoblje na recepciji i u restoranu hotela.
Hotelska soba je bila kako je i na slikama.  U potpunosti sam zadovoljna.
Raznolik izbor namirnica za doručak.","Odnos osoblja u SAP centru je ukaljao moj boravak u hotelu i učinio ga posljednje veče izuzetno stresnim.
Nekultura i neprofesionalnost na izuzetno visokom nivou, posebno gospođe Nevene/Nene (ako se dobro sjećam imena).
Od maltretiranja tokom boravka u sauni (""držanje predavanja"" otvorenih vrata) do proganjanja da se napusti spa centar (u periodu već od 22:25 pa do 22:45 kada sam i izašla iz istog) a kom je i na bookingu i u pravilima hotela navedeno da je radno vrijeme do 23:00h.
Sramota!",9
"Lokacija, čistoća, udobnost",-,9
Sve odlicno!,,10
"Neverovatno ljubazno i srdačno osoblje, ukusan doručak, obezbeđen parking, čiste sobe. Sigurno ću ponovo odsesti u ovom hotelu kada budem bio u Beogradu.",,10
"Odličan odnos cene i kvaliteta. Osoblje je preljubazno, doručak raznovrstan i bogat, sobe čiste, kreveti udobni. Za svaku preporuku!",Sve je bilo odlično!,10
"Doručak izvanredan,hrana ukusna,izbor  jela iznad očekivanja.
Osoblje na recepciji ljubazno. Velika pomoć gospodina Dušana prilikom parkinga vozila.",Nemam primjedbi niti bih mogao zahtijevati bilo šta bolje.,10
Doručak.,,10
"Uredna  soba i dobar dorucak,voda nesto hladnija u bazenu, al nije strasno",,10
"Sve. Sobe su lijepe,kreveti udobni,hrana ukusna.Osoblje ljubazno,iako sam dosla rano ujutru (prije check inn-a),bez nadoknade su mi dozvolili da udjem u sobu.",-,10
"Fenomenalna lokacija, divan enterijer, preljubazno osoblje i predivan doručak 🙌","Kupatilo je imalo problem sa odvodom. Nismo prijavili, ali verujem da bi odmah rešili.",10
"Cistoca,odlican odnos cene i kvaliteta.",,10
"Hotel je za svaku preporuku i pohvalu. Osoblje je maksimalno ljubazno i predusretljivo. Apartman koji smo dobili kao upgrade je fantastican - uredan, udoban, prostran, cist. Hrana u restoranu je odlicna. Spa centar - saune, bazen - odlicno za odmoriti dusu i tijelo. Raspoloziv parking. Uvijek se rado vracamo ovom hotelu.",,10
Da,,10
Vrlo ljubazno osoblje koje je susretljivo i korektno. Sve pohvale!,,10
"Lokacija hotela, parking, komforni aparman (hvala jos jednom), spa centar i svakako ljubaznost osoblja. Hotel je za svaku preporuku i uvijek se istom vracamo kada smo u BG.",,10
"Ekipa koja radi na recepcije je sjajna, Natasa, Marija(mislim da se zove) i Milos!! Svaka pohvala!!",,10
"Osoblje hotela je bilo fenomenalno! Veoma uslužni, prijatni i brzi recepcionari.",,10
Izuzetno ljubazno osoblje,,10
Osoblje na recepciji je bilo izuzetno prijatno ☺️,,10
"Nikad ljubaznije osoblje,pogotovo recepcionerke!Sve pohvale...",,10
"Odlican odnos cijene, kvaliteta, lokacije, cistoce i udobnosti",,10
"Ispunili su sva očekivanja, osoblje je jako ljubazno a i sve je čisto i uredno. 😍",,10
"Osoblje, higijena, hrana...",,10
Prezadovoljni smo. Bas smo se odmorili i opustili. Svima preporucujemo.,,10
"Dolazimo ovde uvek kad smo u Bgd.Zaista lep hotel,čist.Doručak dobar.",Buka.Da li je loša izolacija ili loši kreveti.Celu noc nije moglo da se spava  od vriske i lomljenja kreveta iz susednih soba.,2
"Odlicna lokacija, odlican hotel, kulturno i fino mesto",,10
,"Trebalo je da u sklopu ""romantičnog vikenda za dvoje"" dobijemo činiju voća i flašu vina, od toga ništa. Bilo je previše hladno, a njihovo jedino objašnjenje je bilo da im je ceo sistem još uvek podešen na hlađenje.",5
Sve preporuke,,10
,"Sve kako treba, preljubazni su svi, hrana dobra, parking obezbeđen, sve na svom mestu.",10
Sve ok,Nemam komentar,10
,"Doručak je uglavnom svinjski i nije imalo izbora, imajte obzira da dolaze i gosti koji ne jedu svinjsko meso.",10
Lokacija poznata od ranije i to je bio preduslov za izbor hotela. Prihvatljiv bar i ljubazna konobarica. Recepcioneri na nivou.,"Parking se naplaćuje, radnik na parkingu i recepcioner ne daju usaglašene informacije: recepcioner je rekao da ima slobodnih mesta, a radnik da je sve zauzeto i poslao me je da tražim parking okolo između zgrada.
Doručak nešto ispod proseka, lošije nego u drugim hotelima sličnog ranga.
Mini bar u sobi je bio prazan.
Kupatilo u starom maniru, zahteva se renoviranje.",4
Lokacija,"Nema dovoljno obezbeđenog parkinga
Zagusljiva neizluftirana soba neugodan boravak u istoj",3
Doručak je bio odličan i higijena hotela,"Bazen nismo mogli da koristimo jer je bila školica plivanja to nigde nije pisalo da se bazen ne moze koriatiti subotom pre podne. Verovatno ne bih rezervisao. Sobe minijaturne, delimicno renovirane, neudobne. Osoblje nezainteresovano. Imali smo problem sa kreditnom karticom, ali službenica umesto da pomogne (problem je bio u hotelskom terminalu) je rekla ne znam a da vi platite u kesu. Sve u svemu nista za te pare...",3
"Ljubazno osoblje, čistoća hotela, odličan švedski sto za doručak, spa centar, obezbjeđen parking.
Vraćamo se svaki put u ovaj hotel.",,10
,"Gospođa, koja je radila za recepcijom u popodnevnoj smeni, bila je jako ljubazna i predusretljiva sve pohvale za nju. Međutim, recepcioner u noćnoj smeni, Stefan mislim da mu je ima, prvo nije nas pozvao, a imale smo naručeno buđenje za avion rano ujutru, što znači da je bilo do njega propustile bismo avion,  onda je bio jako neljubazan i kad smo mu objašnjavale da imamo zakazan taksi do aerodroma.",3
Dorucak ok,Katastrofa  sauna i bazen odvratno prljave pločice sa zalepljenim slinama tusevi puni dlaka uzas!!!,3
,"Sobarica mi je ukrala novac, trazio sam na recepciji da mi vrate kamere, rekli su da kamere u hodniku ne pokrivaju ulaz u moju sobu.
Strasno,vodite racuna!",1
Sve je fenomenalno,,10
Sve🥰,,10
sve je ok osim sto su sobe neodrzavane i zapustene….osoblje je ljubazno i hotel je lep….,,6
"Stvarno odlican apartman, vlasnici vrlo ljubazni. Sve preporuke!",,10
"Ljubaznost domaćina i čistoća apartmana.
Dragan i Goga su nas dočekali sa toliko topline, da nam je odmah bilo jasno da smo napravili pravi izbor. Ljudi prosto odišu dobrotom i prijatnošću.
Sve su nam spremili, da nismo morali da se angažujemo oko bilo čega. 
Od kreveca i posteljine za našu dvogodišnju devojčicu, do jabuka i smeđeg šećera.
Apartman, čista desetka. Nov nameštaj, potpuno isto, kao na fotografijama u opisu.
Čisto kupatilo, udobni i čisti dušeci i jastuci, što je nama najbitnije. 
Stočić i stolice za terasu, dodatni plus.
Na parkingu uvek mesta.
Da ne zaboravim lokaciju. Mirno i tiho. Drugi red od šume. 
Idealno provedenih sedam dana.",Nema toga što nam se nije dopalo.,10
"Lep apartman, sve novo, cisto.
Lep pogled, centar 20 minuta laganim hodom.
Domacini super.",,10
Све је било одлично !,,10
"Pre svega utisak su mi ostavili vlasnici apartmana koji su izuzetno ljubazni i neverovatni ljudi. Jako lepa dobrodošlica. Apartman se nalazi na mirnoj lokaciji, krevet udoban, jastuci savršeni što mi se retko dešava na putovanjima. Nov, moderno opremljen, čistoća 10. Vratiću se sigurno 😊",/,10
Cisto na prvom mestu.Sve je novo u apartmanu.Predivan deo za setnju .Ja sam bio poslom.ali cu otici i privatno.Ljubazni domacini.Poseduje sve sto je potrebno apartmanu.Kompletna kuhinja.Lep dnevni boravak.Spavaca soba bracni krevet.Ocena najvisa 10+,Nemamo nikakvih zamerki.Sve je u najboljem redu.,10
"I više nego zadovoljni! Sve je novo, čisto, lokacija je mirna, a domaćini preljubazni! Izašli su nam u susret čak i sa prevozom od stanice do apartmana! Sve preporuke. Super izbor i za porodicu i prijatelje. :)",,10
"Smeštaj je dobro opremljen, domacini odlicni, vrlo smo zadovoljni!",,10
"Domaćini su divni i ljubazni. Lokacija objekta je odlična, izuzetno je čisto, sve je kao na slikama. Definitivno planiramo opet doći.",,10
"Prelep je,sve je kao i na slikama. Cisto,mirno,10 minuta peske do centra Zlatibora. 
Ne pamtim kad sam tako lepo spavala,krevet je preudoban cista 10-ka!
Gazde su predivni ljudi,sve pohvale i za njih,i da ja cu se vratiti ponovo kod njih,cim se ponovo umorim.",,10
"Identično kao na slikama. Čisto, novo, prostorno, lepo. Sve kao što piše u opisu i kako izgleda na slikama. Domaćini dostupni, prijatni, topli i vedri ljudi. Smeštaj i usluga za visoku ocenu. Sledeći put dovodimo i ljubimca sa nama.",,10
Sve je super,Nema toga,10
"Izuzetni domacini, jako prijatni i ljubazni.. Objekat je uredjen sa ukusom, sve je novo i jako cisto... Nase preporuke... Doci cemo ponovo sigurno.",,10
Sve nam se dopalo apartman KIDA!,,10
"Apartman je isti kao na slikama, ima sve što je potrebno, i više. Čisto je, uredno je i na mirnoj lokaciji. Vlasnici su jako ljubazni, tu su bili za sve što je potrebno, dočekali su nas na ulazu na Zlatibor da nam daju ključ i sproveli do apartmana kako bi se lakše snašli iako smo došli kasno uveče nije im bio problem, sve preporuke :)",Sve je bilo kako treba.,10
"Čist, nov, ukusno uredjen apartman u lepom kraju. Divan pogled na zelenilo. Domaćini vedri i ljubazni ljudi, predusretljivo će vas otpratiti do apartmana i uputiti u sve mogućnosti na Zlatiboru. Potpuno smo zadovoljni!",Sve je bilo savršeno.,10
"Divni domaćini, odličan smeštaj i lokacija. Svaka preporuka.",,10
"Apartman je odličan cist i udoban i ima sve sto vam je potrebno i vise od toga.Domacini su na visini zadatka, ko dodje bice prezadovoljan kao sto smo mi bili i dolazimo OPET.POZ OD MICE😀",,10
"Sve pohvale za domacine, vrlo ljubazni i prijatni. Stan je bio izuzetno cist, topao, mirisljav, opremljen apsolutno u detalj sa svim sitnicama kako u kuhinjskom delu, sobi, tako i u kupatilu. Zaista sve pohvale i preporuke. A mi se vidimo opet.",,10
"Čistoća,lokacija,apartman,vlasnici...sve je savršeno.Bili smo sa kucom,vlasnici su bili oduševljeni i.Sigurno dolazimo opet sa decom i kučetom.",Nema mane,10
"Domaćini su fenomenalni u pitanju je presladak bračni par koji vam je na raspolaganju 24 sata. 
Ljubaznost, smeštaj, lokacija, aposlutno sve je za svaku preporuku. 
Mogućnost dolaska sa partnerom, prijateljima ili decom, u svakom slučaju ćete biti zadovoljni.",,10
"Odličan apartman. Čistoća na najvišem nivou. Terasa prelepa, krevet izuzetno udoban. Domaćini (bračni par) jako ljubazni (Bucka je bolja ;) ). Za preporuku, svakako. Mi ćemo ponovi biti njihovi gosti.",,10
"Stan je prelep,skockan,ukusno i kompletno opremljen. Domaćica je divna i predusretljiva. Jako prijatno iskustvo za nas. Velika preporuka, a mi se vraćamo ubrzo.",,10
Sve usluge su za svaku pohvalu i preporuku,,10
"Sve je super,čisto i uredno.",,10
"Apartman jos lepsi,nego na slikama.Sve pohvale.",,9
Cista 10 tka!,,10
"Sve...i lubaznost,cistoca apartmana..svaka cast",,10
"Prelep apartman,udoban i cist smestaj za svaku pohvalu. Domacini preljubazni. Za svaku preporuku. Docicemo ponovo",,10
"Apartman cist, uredan,opremljen svim potrebnim stvarima,aparatima,sudovima za normalno funkcionisanje. Domacini predusretljivi,ljubazni,24 sata na usluzi. Steta sto je zima pa nismo mogli da uzivamo na predivnoj terasi. Vraticemo se sigurno opet.",,10
"Domacini su izuzetno ljubazni i predusretljivi, a smestaj odise toplinom i prijatno je boraviti u njemu.","Zvucna izolacija je veoma losa, na sta domacini ne mogu da uticu. Cuju se komsije iznad kad pricaju, pomeraju stolice, rasklapaju lezaj itd.",10
"Lokacija je super
Mirno je
Sve je novo","Na bookingu je cena smestaja pisala 104 evra kad smo stigli u apartman vlasnici su nam naplatili 110 evra sto nije neka razlika ali zasto pise jedna cena a ljudi traze drugi iznos.
Stan je nov ali je jako lose rasporedjen. Nema mesta za odlaganje stvari.
Znali smo da je pet friendly ali nismo ocekivali da ce biti tako prvljavo, puno dlaka, dlake su bile svih mogucih duzina i boja ja sam morala da cistim apartman provetravam iznosim jastuke jorgane na terasu posto je sve bilo prljavo. Posteljina neka jeftina, sintetika, peskiri imaju fleke, nekvalitetni, skinuli smo posteljinu ispod ima zastita na krevetu koja je imala zute fleke. Znaci ispod kreveta 2cm prasine, dlaka…. Ja koja sam alergicna na sve to morala sam da uzmem tablete, i momak koji nije alergican i njemu je smetalo koliko dlaka i prasine ima.",3
"Osoblje je ljubazno, hostel je veoma prijatnog izgleda,odiše dobro ukombinovanim enterijerom,čisto je i uredno.Meni lično se dopalo što je usmeren ka novim idejama i identičan.U sklopu hostela se nalazi i pab uz otvoreno igranje igara kao što su pikado,šah,Sony...Sve preporuke",,10
"Sve pohvale, ljubazno osoblje, sve cisto. Bez zamjerki!",,10
,Непријатан мирис у соби,8
Sve,,9
"Sve preporuke 
😍💪💪",,10
Apsolutno sve,Nema toga,10
Lokacija odlicna,,10
Zaposleni su bili I vise ne go uctivi. A krevet udoban.,Čistoča u wc I par stvari u sobi kao na primer prljava stolica I sto.,10
"Lokacija je pogodna, u širem smislu za posetioce koji dolaze u srcu grada na odmor.",,8
"Smestaj sjajan, osoblje ljubazno!!! 
Preporuka!!!",,10
Domaćinski doček i uredan tuš sa toplom vodom...,"Nema ništa što bih naveo, sve je bilo u redu...",8
"Ljudi na recepciji od jako velike koristi,preljubazni.Osecala sam se kao kod kuce.Na samom prijemu sam dobila kolacic i kafu,a uvece su organizovali druzenje u pabu uz posluzenje,palacinke,caj,kafa,igre.Sve preporuke za hostel.Hvala na svemu dobri ljudi.",,10
"Sve. Na samoj prijavnici imate osecaj kao da dolazite kod dobrog starog prijatelja koga dugo niste videli. Lokacija topina da ne moze vise, na samom ulazu u sredisnji deo Skadarske. 10+",,10
Fantastičan hostel u svakom pogledu.,,10
"Sve u najboljem redu, lokacija , cena , osoblje izuzetno prijatno. Preporuka svima da koriste ovaj hostel...",,10
Sve,,9
"Dobra lokacija,mirno,čisto,odlicni prekrivači 🙂",Sve je bilo u redu.,6
,"Sve je bilo dobro sem što nisam mogla da dobijem povraćaj novca, a morala sam da izađem ranije od zakazanog izlaska. Platila sam za 3 noći, a nisam uopšte prespavala jer mi je nešto iskrislo. Nisam očekivala da će mi vratiti za prvu noć novac, ali za preostale dve da, barem neki deo, ali ne... Me znam kako je inače po hostelima, ovo mi je prvi put, ali u hotelima se vraća novac za raniji checkout.",5
Skoro nista,Vecina stvari,3
Pub.,Sve ostalo.,1
"Cisto,prostrano,dobar domacin..",,10
"Odlična lokacija, apartman je izuzetno čist. Kompletan kvart je prelepo uređen sa obezbeđenim parkingom, pekarama, prodavnicama, apotekama i ostalim sadržajima.",,10
"Sve je fenomenalno 
Apartman je komforan 
Sve je čisto 
Garaza je fenomenalna 
Zaista sve pohvale",Ne postoji nista sto bih naveo kao propust,10
"Izuzetno lep i prostoran stan, dosta svetla i prijatan ambijent. Parking u zgradi veliki plus. stan ima sve sto je potrebno za boravak.",,10
